date,tournament,patch,w_l,side,vs,bans,bans_vs,picks,picks_vs,players,ban1,ban2,ban3,ban4,ban5,ban_vs1,ban_vs2,ban_vs3,ban_vs4,ban_vs5,pick_top,pick_jg,pick_mid,pick_bot,pick_sup,pick_vs_top,pick_vs_jg,pick_vs_mid,pick_vs_bot,pick_vs_sup,player_top,player_jg,player_mid,player_bot,player_sup
2022-07-30,KR LCK 2022 Summer,12.13,Win,Blue,Liiv SANDBOX,"Poppy,Aphelios,Lucian,Azir,Akali","Kalista,Yuumi,Sylas,Nautilus,Leona","Gwen,Trundle,Lissandra,Zeri,Rakan","Gnar,Wukong,Ahri,Kog'Maw,Lulu","Kingen,Pyosik,Zeka,Deft,BeryL",Poppy,Aphelios,Lucian,Azir,Akali,Kalista,Yuumi,Sylas,Nautilus,Leona,Gwen,Trundle,Lissandra,Zeri,Rakan,Gnar,Wukong,Ahri,Kog'Maw,Lulu,Kingen,Pyosik,Zeka,Deft,BeryL
2022-07-30,KR LCK 2022 Summer,12.13,Loss,Red,Liiv SANDBOX,"Zeri,Sylas,Aphelios,Ezreal,Lucian","Yuumi,Gwen,Kalista,Rakan,Tahm Kench","Gnar,Trundle,Lissandra,Vayne,Nautilus","Sejuani,Wukong,Ahri,Sivir,Leona","Kingen,Pyosik,Zeka,Deft,BeryL",Zeri,Sylas,Aphelios,Ezreal,Lucian,Yuumi,Gwen,Kalista,Rakan,Tahm Kench,Gnar,Trundle,Lissandra,Vayne,Nautilus,Sejuani,Wukong,Ahri,Sivir,Leona,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-05,KR LCK 2022 Summer,12.13,Win,Blue,Nongshim RedForce,"Sivir,Taliyah,Poppy,Trundle,Renata Glasc","Zeri,Kalista,Wukong,Gnar,Ornn","Gragas,Lee Sin,Sylas,Jinx,Tahm Kench","Renekton,Viego,Ryze,Aphelios,Yuumi","Kingen,Pyosik,Zeka,Deft,BeryL",Sivir,Taliyah,Poppy,Trundle,Renata Glasc,Zeri,Kalista,Wukong,Gnar,Ornn,Gragas,Lee Sin,Sylas,Jinx,Tahm Kench,Renekton,Viego,Ryze,Aphelios,Yuumi,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-05,KR LCK 2022 Summer,12.13,Loss,Red,Nongshim RedForce,"Gwen,Yuumi,Wukong,Rakan,Lissandra","Sylas,Poppy,Kalista,Alistar,Nocturne","Sejuani,Viego,Ahri,Zeri,Leona","Renekton,Taliyah,Ryze,Sivir,Tahm Kench","Kingen,Pyosik,Zeka,Deft,BeryL",Gwen,Yuumi,Wukong,Rakan,Lissandra,Sylas,Poppy,Kalista,Alistar,Nocturne,Sejuani,Viego,Ahri,Zeri,Leona,Renekton,Taliyah,Ryze,Sivir,Tahm Kench,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-05,KR LCK 2022 Summer,12.13,Win,Blue,Nongshim RedForce,"Gwen,Poppy,Sivir,Trundle,Renekton","Yuumi,Wukong,Zeri,Gnar,Nocturne","Sejuani,Viego,Sylas,Kalista,Amumu","Shyvana,Vi,Taliyah,Aphelios,Leona","Kingen,Pyosik,Zeka,Deft,BeryL",Gwen,Poppy,Sivir,Trundle,Renekton,Yuumi,Wukong,Zeri,Gnar,Nocturne,Sejuani,Viego,Sylas,Kalista,Amumu,Shyvana,Vi,Taliyah,Aphelios,Leona,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-07,KR LCK 2022 Summer,12.13,Win,Red,Kwangdong Freecs,"Gwen,Kalista,Wukong,Renekton,Gnar","Sylas,Poppy,Yuumi,Vi,Viego","Gragas,Xin Zhao,Ahri,Sivir,Lulu","Ornn,Lee Sin,Taliyah,Zeri,Rakan","Kingen,Pyosik,Zeka,Deft,BeryL",Gwen,Kalista,Wukong,Renekton,Gnar,Sylas,Poppy,Yuumi,Vi,Viego,Gragas,Xin Zhao,Ahri,Sivir,Lulu,Ornn,Lee Sin,Taliyah,Zeri,Rakan,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-07,KR LCK 2022 Summer,12.13,Win,Red,Kwangdong Freecs,"Gwen,Kalista,Wukong,Rakan,Leona","Sylas,Poppy,Yuumi,Viego,Xin Zhao","Gragas,Trundle,Ahri,Sivir,Lulu","Sejuani,Vi,Taliyah,Zeri,Renata Glasc","Kingen,Pyosik,Zeka,Deft,BeryL",Gwen,Kalista,Wukong,Rakan,Leona,Sylas,Poppy,Yuumi,Viego,Xin Zhao,Gragas,Trundle,Ahri,Sivir,Lulu,Sejuani,Vi,Taliyah,Zeri,Renata Glasc,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-11,KR LCK 2022 Summer,12.14,Loss,Blue,KT Rolster,"Lucian,Poppy,Yuumi,Gwen,Sejuani","Kalista,Sivir,Zeri,Renata Glasc,Ornn","Gragas,Wukong,Sylas,Jinx,Rakan","Renekton,Trundle,Ahri,Aphelios,Tahm Kench","Kingen,Pyosik,Zeka,Deft,BeryL",Lucian,Poppy,Yuumi,Gwen,Sejuani,Kalista,Sivir,Zeri,Renata Glasc,Ornn,Gragas,Wukong,Sylas,Jinx,Rakan,Renekton,Trundle,Ahri,Aphelios,Tahm Kench,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-11,KR LCK 2022 Summer,12.14,Loss,Blue,KT Rolster,"Lucian,Poppy,Sylas,Renekton,Trundle","Kalista,Sivir,Zeri,Ornn,Gwen","Aatrox,Viego,Ahri,Jinx,Tahm Kench","Sejuani,Wukong,Swain,Aphelios,Renata Glasc","Kingen,Pyosik,Zeka,Deft,BeryL",Lucian,Poppy,Sylas,Renekton,Trundle,Kalista,Sivir,Zeri,Ornn,Gwen,Aatrox,Viego,Ahri,Jinx,Tahm Kench,Sejuani,Wukong,Swain,Aphelios,Renata Glasc,Kingen,Pyosik,Zeka,Deft,BeryL
2022-08-14,KR LCK 2022 Summer,12.14,Win,Blue,Hanwha Life Esports,"Poppy,Lucian,Draven,Gwen,Trundle","Kalista,Sivir,Zeri,Renekton,Lee Sin","Ornn,Vi,Ahri,Aphelios,Renata Glasc","Aatrox,Wukong,Azir,Jinx,Tahm Kench","Kingen,Pyosik,Zeka,Deft,BeryL",Poppy,Lucian,Draven,Gwen,Trundle,Kalista,Sivir,Zeri,Renekton,Lee Sin,Ornn,Vi,Ahri,Aphelios,Renata Glasc,Aatrox,Wukong,Azir,Jinx,Tahm Kench,Kingen,Pyosik,Zeka,Deft,BeryL
